match_name,team_id_1,team_id_2,time
Evil Geniuses vs Quincy Crew,39,7390454,1642633200
4 Zoomers vs Evil Geniuses,39,7819028,1641672000
Arkosh Gaming vs Evil Geniuses,39,8180753,1638648000
Black N Yellow vs Evil Geniuses,39,8260932,1638993600
Evil Geniuses vs Undying,39,8260983,1642017600
Evil Geniuses vs Simply TooBased,39,8272699,1639868400
Evil Geniuses vs D2 Hustlers,39,8376426,1639512000
Quincy Crew vs 4 Zoomers,7390454,7819028,1638658800
Quincy Crew vs Arkosh Gaming,7390454,8180753,1639263600
Quincy Crew vs Black N Yellow,7390454,8260932,1641931200
Quincy Crew vs Undying,7390454,8260983,1641682800
Quincy Crew vs Simply TooBased,7390454,8272699,1638302400
Quincy Crew vs D2 Hustlers,7390454,8376426,1639857600
4 Zoomers vs Arkosh Gaming,7819028,8180753,1642276800
Black N Yellow vs 4 Zoomers,7819028,8260932,1638399600
Undying vs 4 Zoomers,7819028,8260983,1640116800
4 Zoomers vs Simply TooBased,7819028,8272699,1639598400
4 Zoomers vs Wildcard Gaming,7819028,8376426,1642536000
Arkosh Gaming vs Black N Yellow,8180753,8260932,1639609200
Arkosh Gaming vs Undying,8180753,8260983,1642622400
Simply TooBased vs Arkosh Gaming,8180753,8272699,1641423600
D2 Hustlers vs Arkosh Gaming,8180753,8376426,1639004400
Undying vs Black N Yellow,8260932,8260983,1639252800
Black N Yellow vs Simply TOOBASED,8260932,8272699,1642287600
Black N Yellow vs D2 Hustlers,8260932,8376426,1641412800
Simply TooBased vs Undying,8260983,8272699,1638907200
D2 Hustlers vs Undying,8260983,8376426,1638388800
Simply TOOBASED vs Wildcard Gaming,8272699,8376426,1642028400
