node_name,team_id_1,team_id_2,time
BOOM vs Fnatic,350190,7732977,1650103200
Fnatic vs T1,350190,8214850,1650448800
Fnatic vs Team SMG ,350190,8244493,1649844000
Fnatic vs Execration,350190,8254145,1648278000
Fnatic vs OB.Neon,350190,8360138,1647424800
Fnatic vs Polaris Esports,350190,8525778,1649487600
Fnatic vs Nigma Galaxy,350190,8572181,1648893600
BOOM vs T1,7732977,8214850,1649930400
BOOM vs Team SMG,7732977,8244493,1650535200
BOOM vs Execration,7732977,8254145,1649498400
BOOM vs OB.Neon,7732977,8360138,1648634400
BOOM vs Polaris Esports,7732977,8525778,1648029600
BOOM vs Nigma Galaxy,7732977,8572181,1647684000
T1 vs Team SMG,8214850,8244493,1648288800
T1 vs Execration,8214850,8254145,1648720800
T1 vs OB.Neon,8214850,8360138,1649325600
T1 vs Polaris Esports,8214850,8525778,1647673200
Nigma Galaxy vs T1,8214850,8572181,1648018800
Team SMG vs Execration,8244493,8254145,1647511200
Team SMG vs OB.Neon,8244493,8360138,1648882800
Team SMG vs Polaris Esports,8244493,8525778,1648623600
Nigma Galaxy vs Team SMG,8244493,8572181,1649239200
OB.Neon vs Execration,8254145,8360138,1648116000
Execration vs Polaris Esports,8254145,8525778,1649228400
Execration vs Nigma Galaxy SEA,8254145,8572181,1649833200
OB.Neon vs Polaris Esports,8360138,8525778,1650092400
OB.Neon vs Nigma Galaxy SEA,8360138,8572181,1650438000
Polaris vs Nigma Galaxy,8525778,8572181,1647414000
