node_group_id,node_group_name,node_id,node_name,best_of,inc_id_1,inc_id_2,team_id_1,team_id_2,team_wins_1,team_wins_2,time
2,Round Robin,1,TSpirit vs NAVI,3,0,0,36,7119388,0,0,1679742000
2,Round Robin,2,"NAVI vs HR",3,0,0,36,7422789,0,0,1680174000
2,Round Robin,3,"NAVI vs BetBoom",3,0,0,36,8255888,0,2,1678975200
2,Round Robin,4, NAVI vs Move,3,0,0,36,8376696,0,0,1680012000
2,Round Robin,5,"NAVI vs HYDRA",3,0,0,36,8588969,0,2,1679158800
2,Round Robin,6,"NAVI vs VP",3,0,0,36,8724984,0,0,1680444000
2,Round Robin,7,"NAVI vs Darkside",3,0,0,36,8944440,2,1,1678618800
2,Round Robin,8,TSpirit vs HR,3,0,0,7119388,7422789,0,0,1680368400
2,Round Robin,9,TSpirit vs BetBoom,3,0,0,7119388,8255888,2,1,1679148000
2,Round Robin,10,TSpirit vs Move,3,0,0,7119388,8376696,2,1,1678791600
2,Round Robin,11,HYDRA vs TSpirit,3,0,0,7119388,8588969,2,1,1679407200
2,Round Robin,12,VP vs TSpirit,3,0,0,7119388,8724984,0,0,1680184800
2,Round Robin,13,TSpirit vs Darkside,3,0,0,7119388,8944440,0,0,1679839200
2,Round Robin,14,BetBoom vs HR,3,0,0,7422789,8255888,0,0,1679580000
2,Round Robin,15,Move vs HR,3,0,0,7422789,8376696,2,1,1679137200
2,Round Robin,16,HR vs HYDRA,3,0,0,7422789,8588969,0,0,1679752800
2,Round Robin,17,HR vs VP,3,0,0,7422789,8724984,2,0,1678802400
2,Round Robin,18,Darkside vs HR,3,0,0,7422789,8944440,2,0,1679234400
2,Round Robin,19,BetBoom vs Move,3,0,0,8255888,8376696,2,1,1679396400
2,Round Robin,20,BetBoom vs HYDRA,3,0,0,8255888,8588969,0,0,1679828400
2,Round Robin,21,VP vs BetBoom,3,0,0,8255888,8724984,0,0,1680001200
2,Round Robin,22,BetBoom vs Darkside,3,0,0,8255888,8944440,0,0,1680454800
2,Round Robin,23,HYDRA vs Move,3,0,0,8376696,8588969,2,1,1678629600
2,Round Robin,24,VP vs Move,3,0,0,8376696,8724984,0,0,1679763600
2,Round Robin,25,Darkside vs Move,3,0,0,8376696,8944440,0,0,1680357600
2,Round Robin,26,VP vs HYDRA,3,0,0,8588969,8724984,0,0,1680346800
2,Round Robin,27,Darkside vs HYDRA,3,0,0,8588969,8944440,2,0,1678964400
2,Round Robin,28,Darkside vs VP,3,0,0,8724984,8944440,1,0,1679569200
