"player_id","match_id","kills","deaths","creep_score","gold_per_min","tower_kills","roshan_kills","team_fight","obs_wards_planted","camps_stacked","runes_grabbed","first_blood","stuns","total"
277141004,6222355816,3.6,2.1,0.945,1.188,1,0,2.4,0,0.5,0.5,0,0.10257315,12.33557315
143693439,6222355816,0.6,2.4,0.282,0.718,0,0,2.1,5.5,2.5,1,0,0.3909607,15.4909607
107803494,6222355816,1.8,2.1,0.78,0.968,1,0,2.4,0,0,3.25,0,0.5029175,12.8009175
138543123,6222355816,1.5,1.8,0.276,0.656,1,0,2.1,3.5,0.5,0.75,0,2.37096575,14.45296575
134276083,6222355816,1.5,2.1,0.954,1.104,4,0,2.0000001,0,1,0,0,0.2032837,12.8612838
86745912,6222355816,1.8,2.4,1.179,1.316,6,2,2.0000001,0,1,0.75,0,1.31547535,19.76047545
154715080,6222355816,1.8,2.4,0.891,0.984,0,0,2.6000001,0.5,2,2.75,4,2.042637,19.9676371
94155156,6222355816,0,0.9,0.114,0.432,0,0,1.2,6.5,0,0.75,0,5.4027885,15.2987885
84772440,6222355816,0.3,0.6,0.453,0.624,0,0,1.40000001,0,0,0.75,0,0,4.12700001
25907144,6222355816,0.6,-0.3,0.045,0.388,0,0,1.8,1.5,1.5,0,0,0,5.533
19672354,4986461644,0.9,2.1,0.06,0.478,0,0,2.1,2,1.5,0.75,4,0,13.888
311360822,4986461644,0.9,2.7,0.555,0.92,0,0,2.85,0,0,0.5,0,0.088635255,8.513635255
26771994,4986461644,0.6,2.1,0.105,0.502,0,0,2.25,4,0.5,0.75,0,2.8101303,13.6171303
88271237,4986461644,0.6,2.1,0.486,0.86,1,0,1.65,0,0,1,0,0,7.696
94054712,4986461644,3,2.4,0.666,1.186,2,0,2.55,0,1,1,0,2.3076905,16.1096905
105248644,4986461644,0.9,2.1,0.447,0.814,1,0,1.63636368,0,0,0.75,0,0,7.64736368
34505203,4986461644,0,2.1,0.357,0.802,0,0,0.81818184,0,0,0.75,0,0,4.82718184
82262664,4986461644,1.2,1.5,0.072,0.434,0,0,2.4545454,4.5,0,0.25,0,0.29191895,10.70246435
101356886,4986461644,0.3,1.5,0.09,0.434,1,0,2.4545454,1,0,1.5,0,0.6513904,8.9299358
86700461,4986461644,0.9,1.8,0.333,0.732,2,1,1.9090908,0,0.5,0.25,0,1.1475562,10.571647
113331514,6224010002,0.9,1.5,0.285,0.674,2,0,2.34375,8.5,0.5,0.25,0,0,16.95275
321580662,6224010002,2.4,1.8,1.536,1.396,4,1,1.875,0,1,0.25,0,2.8057688,18.0627688
431770905,6224010002,3.3,1.5,1.458,1.362,4,0,1.78125,1,2,3.75,0,2.008352,22.159602
256156323,6224010002,2.4,1.2,0.294,0.746,0,0,1.96875,2,0,1.25,0,1.06844685,10.92719685
302214028,6224010002,0.3,1.5,0.828,1.246,1,0,1.5,0,0,1.5,0,0.9762926,8.8502926
124801257,6224010002,1.8,0.6,1.704,1.266,3,1,1.44,0.5,0,2.5,0,0.98599805,14.79599805
480412663,6224010002,1.5,0.9,1.125,1.136,0,0,2.16,1,0,2.5,0,4.2716535,14.5926535
56351509,6224010002,2.4,2.1,1.128,0.988,2,1,2.04,0,0.5,2.25,0,2.659314,17.065314
317880638,6224010002,0.6,0.9,0.093,0.46,0,0,2.4,3,0,1,4,5.5113995,17.9643995
187758589,6224010002,1.2,0.9,0.333,0.662,0,0,1.8,7.5,2.5,0.25,0,0.34544952,15.49044952
98172857,6078913575,1.2,1.5,0.246,0.592,0,0,2.05263162,4.5,4.5,0.5,0,1.10791625,16.19854787
112426916,6078913575,2.7,2.1,0.819,0.966,0,1,2.52631581,0,0,3,4,7.152638,24.26395381
127617979,6078913575,1.5,1.8,0.825,0.946,3,0,1.42105266,0,0.5,0.25,0,2.13061,12.37266266
140288368,6078913575,0.3,1.2,0.531,0.65,2,0,1.42105266,1,0,0.25,0,5.3673705,12.71942316
75750590,6078913575,0,1.2,0.111,0.406,0,0,1.42105266,3.5,1,0,0,0,7.63805266
87382579,6078913575,0.6,2.1,0.582,0.824,0,0,2.0869566,0.5,1,0.75,0,0.73392335,9.17687995
97590558,6078913575,3,3,1.029,1.3,6,0,2.3478261,0,1,1,0,1.11894895,19.79577505
298683250,6078913575,1.5,2.1,0.681,1.07,3,0,2.3478261,0.5,1,1.25,0,3.371058,16.8198841
185996267,6078913575,0.6,0.6,0.087,0.5,0,0,1.95652182,3,0,2.25,0,4.491333,13.48485482
16497807,6078913575,0.9,1.5,0.24,0.68,0,0,2.21739132,5,1,1.25,0,0.7014347,13.48882602
108452107,6221491372,1.8,0.9,1.242,1.136,1,0,1.8181818,0,2,0.25,0,1.5246361,11.6708179
221666230,6221491372,3.3,1.5,0.651,0.918,0,0,1.9090908,0.5,0.5,1.75,0,0,11.0280908
87063175,6221491372,2.4,0.9,0.48,0.754,0,0,1.4545455,0,0.5,0.25,0,3.1565424,9.8950879
86726887,6221491372,1.2,0.6,0.096,0.496,0,0,1.9090908,2.5,0.5,0.75,0,1.8458807,9.8969715
47434686,6221491372,0.6,-0.6,0.111,0.482,0,0,1.72727268,6,2,0.5,0,1.8438013,12.66407398
19672354,6221491372,0.3,0,0.102,0.602,0,0,1.42105266,3,3,1.5,0,6.964318,16.88937066
111620041,6221491372,2.4,2.4,1.35,1.506,5,1,1.65789468,0.5,1.5,1.75,0,0,19.06389468
88271237,6221491372,2.1,0.3,0.759,1.056,1,1,1.8157896,0,0,0.75,0,5.9833252,14.7641148
103735745,6221491372,3.3,0,0.171,0.728,0,0,1.65789468,5.5,2,0.75,4,2.2185026,20.32539728
94054712,6221491372,3.3,2.4,1.164,1.444,5,0,2.3684211,0,0,4,0,0.89107535,20.56749645
91730177,6078835307,0,0.3,0.141,0.398,0,0,2.0000001,5.5,0.5,0.25,0,0,9.0890001
190826739,6078835307,1.8,1.8,1.251,1.026,1,1,2.4999999,0.5,0,2.25,0,1.1437866,14.2707865
164962869,6078835307,1.2,2.1,1.365,1.194,1,0,1.7499999,0,0.5,0.75,0,0,9.8589999
169025618,6078835307,0.6,2.1,0.687,0.71,1,0,2.7500001,0,0,0.75,0,0.5429138,9.1399139
92601861,6078835307,0,2.4,0.189,0.396,0,0,2.25,3.5,0,0.75,0,1.7513715,11.2363715
122049498,6078835307,3.3,3,1.704,1.576,3,1,2.4285714,0,0,1.75,0,0.613757325,18.372328725
58513047,6078835307,0.9,1.8,1.056,1.088,3,0,2.14285719,1,2,3.75,0,0,16.73685719
100317750,6078835307,1.2,2.1,0.189,0.592,0,0,1.42857144,2,1,1,4,1.59930685,15.10887829
50580004,6078835307,0.3,2.7,0.84,0.888,2,1,1.85714292,0,1.5,1,0,0,12.08514292
151069590,6078835307,0.6,1.8,0.21,0.656,0,0,2.2857144,7.5,0.5,1,0,1.0770996,15.628814
100594231,6113508855,3.9,2.1,1.206,1.57,1,2,2.30232561,0,1,1,0,0,16.07832561
324277900,6113508855,3.6,2.4,0.522,1.1,1,0,1.883721,1,1.5,2.25,0,3.5978635,18.8535845
162641196,6113508855,2.1,2.1,0.738,1.078,2,0,2.23255812,0,0,0,0,1.7706604,12.01921852
399862798,6113508855,2.7,1.8,0.369,0.864,4,0,1.3953489,0.5,0.5,1.25,4,0.08831177,17.46666067
148526973,6113508855,0.6,1.5,0.072,0.638,0,0,1.7441859,6.5,0,2,0,4.751426,17.8056119
193884241,6113508855,0,0,0.126,0.442,0,0,1.94117652,3.5,0,1.25,0,0.041809082,7.300985602
91644707,6113508855,2.4,0.3,0.756,1.09,0,0,1.94117652,0,0.5,0.75,0,0,7.73717652
349495318,6113508855,1.5,0.6,0.567,0.868,0,0,2.2941177,0.5,1.5,0.75,0,1.6036145,10.1827322
297312417,6113508855,0.6,0.3,0.087,0.452,0,0,2.1176472,4,2,0.75,0,3.466047,13.7726942
103110865,6113508855,0.6,0.9,0.744,0.976,0,0,1.94117652,0,0.5,0.75,0,0.25854735,6.66972387
84429681,6275425871,0.9,0.6,0.372,0.636,0,0,1.94117652,0,0,0.5,0,1.3114868,6.26066332
126238768,6275425871,1.8,0.9,0.501,0.778,2,0,2.8235295,0.5,0.5,2.5,0,5.5286068,17.8311363
110448679,6275425871,0,-0.3,0.093,0.448,0,0,1.94117652,5.5,1,0.5,0,0,9.18217652
50828662,6275425871,1.5,1.5,0.108,0.488,1,0,1.94117652,1.5,2,0.25,0,1.03162415,11.31880067
86822085,6275425871,0.6,0.9,1.107,1.1,0,1,0.70588236,0,0.5,0.75,0,0.99796965,7.66085201
155332459,6275425871,2.1,2.1,0.171,0.718,0,0,1.73684211,3.5,3,2,4,2.5677412,21.89358331
352623024,6275425871,0.9,2.4,0.708,1.008,4,0,1.8157896,0,1,0.5,0,1.936156,14.2679456
352545711,6275425871,3,1.5,0.969,1.244,0,0,1.8947367,0.5,2.5,3.25,0,3.6437622,18.5014989
117089283,6275425871,0.6,1.2,0.111,0.628,0,0,1.42105266,4,1.5,0.25,0,4.65624125,14.36629391
339235645,6275425871,4.8,2.4,0.99,1.472,3,2,1.8947367,0,0.5,1,0,0.8998169,18.9565536
1138610285,6263916503,1.2,1.5,0.507,0.878,1,0,1.3125,0.5,0.5,1.5,0,0.37869873,9.27619873
86811043,6263916503,1.2,1.2,0.381,0.782,1,0,1.3125,0,0,0.25,4,1.026001,11.151501
1138108910,6263916503,0.3,0.3,0.081,0.434,0,0,1.3125,3,0.5,0.25,0,0.72737305,6.90487305
1138635322,6263916503,0,-0.9,0.195,0.49,0,0,1.125,2,1,1.25,0,0,5.16
1138370259,6263916503,1.8,0.6,0.342,0.77,0,0,1.6875,0,0,0.5,0,1.7583359,7.4578359
186837494,6263916503,0.6,0.9,0.159,0.604,0,0,0.73170732,1.5,1,0.75,0,1.23969725,7.48440457
349310876,6263916503,2.7,0.9,0.105,0.724,0,0,1.90243899,3,2,0.75,0,0,12.08143899
59463394,6263916503,3.3,2.7,0.396,1.026,0,0,1.9756098,1,0.5,0.75,0,0,11.6476098
